Year,Date,Stage,Course,Distance,Type,Winner
1978,30/06/1978,1b,Sint Willebrord (Netherlands) to Brussels (Belgium),100 km (62 mi),Plain stage,Walter Planckaert (BEL)
1978,01/07/1978,2,Brussels (Belgium) to Saint-Amand-les-Eaux,199 km (124 mi),Plain stage,Jacques Esclassan (FRA)
1978,02/07/1978,3,Saint-Amand-les-Eaux to Saint-Germain-en-Laye,244 km (152 mi),Plain stage,Klaus-Peter Thaler (FRG)
1978,03/07/1978,4,Évreux to Caen,153 km (95 mi),Team time trial,TI–Raleigh–McGregor
1978,04/07/1978,5,Caen to Mazé–Montgeoffroy,244 km (152 mi),Plain stage,Freddy Maertens (BEL)
1978,05/07/1978,6,Mazé–Montgeoffroy to Poitiers,162 km (101 mi),Plain stage,Sean Kelly (IRE)
1978,06/07/1978,7,Poitiers to Bordeaux,242 km (150 mi),Plain stage,Freddy Maertens (BEL)
1978,07/07/1978,8,Saint-Émilion to Sainte-Foy-la-Grande,59 km (37 mi),Individual time trial,Bernard Hinault (FRA)
1978,08/07/1978,9,Bordeaux to Biarritz,233 km (145 mi),Plain stage,Miguel María Lasa (ESP)
1978,10/07/1978,10,Biarritz to Pau,192 km (119 mi),Hilly stage,Henk Lubberding (NED)
1978,11/07/1978,11,Pau to Saint-Lary-Soulan Pla d'Adet,161 km (100 mi),Stage with mountain(s),Mariano Martínez (FRA)
1978,12/07/1978,12a,Tarbes to Valence d'Agen,158 km (98 mi),Plain stage,Cancelled
1978,12/07/1978,12b,Valence d'Agen to Toulouse,96 km (60 mi),Plain stage,Jacques Esclassan (FRA)
1978,13/07/1978,13,Figeac to Super Besse,221 km (137 mi),Hilly stage,Paul Wellens (BEL)
1978,14/07/1978,14,Besse-en-Chandesse to Puy-de-Dôme,52 km (32 mi),Individual time trial,Joop Zoetemelk (NED)
1978,15/07/1978,15,Saint-Dier-d'Auvergne to Saint-Étienne,196 km (122 mi),Hilly stage,Bernard Hinault (FRA)
1978,16/07/1978,16,St-Étienne to Alpe d'Huez,241 km (150 mi),Stage with mountain(s),Hennie Kuiper (NED)
1978,18/07/1978,17,Grenoble to Morzine,225 km (140 mi),Stage with mountain(s),Christian Seznec (FRA)
1978,19/07/1978,18,Morzine to Lausanne (Switzerland),137 km (85 mi),Plain stage,Gerrie Knetemann (NED)
1978,20/07/1978,19,Lausanne (Switzerland) to Belfort,182 km (113 mi),Plain stage,Marc Demeyer (BEL)
1978,21/07/1978,20,Metz to Nancy,72 km (45 mi),Individual time trial,Bernard Hinault (FRA)
1978,22/07/1978,21,Épernay to Senlis,207 km (129 mi),Plain stage,Jan Raas (NED)
1978,23/07/1978,22,Saint Germain en Laye to Paris (Champs-Élysées),162 km (101 mi),Plain stage,Gerrie Knetemann (NED)
1979,27/06/1979,P,Fleurance,5 km (3.1 mi),Individual time trial,Gerrie Knetemann (NED)
1979,28/06/1979,1,Fleurance to Luchon,225 km (140 mi),Stage with mountain(s),René Bittinger (FRA)
1979,29/06/1979,2,Luchon to Superbagnères,24 km (15 mi),Individual time trial,Bernard Hinault (FRA)
1979,30/06/1979,3,Luchon to Pau,180 km (110 mi),Stage with mountain(s),Bernard Hinault (FRA)
1979,01/07/1979,4,Captieux to Bordeaux,87 km (54 mi),Team time trial,TI–Raleigh–McGregor
1979,02/07/1979,5,Neuville-de-Poitou to Angers,145 km (90 mi),Plain stage,Jan Raas (NED)
1979,03/07/1979,6,Angers to Saint-Brieuc,239 km (149 mi),Plain stage,Jos Jacobs (BEL)
1979,04/07/1979,7,Saint-Hilaire-du-Harcouët to Deauville,158 km (98 mi),Plain stage,Leo van Vliet (NED)
1979,05/07/1979,8,Deauville to Le Havre,90 km (56 mi),Team time trial,TI–Raleigh–McGregor
1979,06/07/1979,9,Amiens to Roubaix,201 km (125 mi),Plain stage,Ludo Delcroix (BEL)
1979,07/07/1979,10,Roubaix to Brussels (Belgium),124 km (77 mi),Plain stage,Jo Maas (NED)
1979,08/07/1979,11,Brussels (Belgium),33 km (21 mi),Individual time trial,Bernard Hinault (FRA)
1979,09/07/1979,12,Rochefort (Belgium) to Metz,193 km (120 mi),Plain stage,Christian Seznec (FRA)
1979,10/07/1979,13,Metz to Ballon d'Alsace,202 km (126 mi),Hilly stage,Pierre-Raymond Villemiane (FRA)
1979,11/07/1979,14,Belfort to Évian-les-Bains,248 km (154 mi),Plain stage,Marc Demeyer (BEL)
1979,12/07/1979,15,Évian-les-Bains to Morzine Avoriaz,54 km (34 mi),Individual time trial,Bernard Hinault (FRA)
1979,13/07/1979,16,Morzine Avoriaz to Les Menuires,201 km (125 mi),Stage with mountain(s),Lucien Van Impe (BEL)
1979,15/07/1979,17,Les Menuires to Alpe d'Huez,167 km (104 mi),Stage with mountain(s),Joaquim Agostinho (POR)
1979,16/07/1979,18,Alpe d'Huez to Alpe d'Huez,119 km (74 mi),Stage with mountain(s),Joop Zoetemelk (NED)
1979,17/07/1979,19,Alpe d'Huez to Saint-Priest,162 km (101 mi),Plain stage,Dietrich Thurau (FRG)
1979,18/07/1979,20,Saint-Priest to Dijon,240 km (150 mi),Plain stage,Serge Parsani (ITA)
1979,19/07/1979,21,Dijon,49 km (30 mi),Individual time trial,Bernard Hinault (FRA)
1979,20/07/1979,22,Dijon to Auxerre,189 km (117 mi),Plain stage,Gerrie Knetemann (NED)
1979,21/07/1979,23,Auxerre to Nogent-sur-Marne,205 km (127 mi),Plain stage,Bernard Hinault (FRA)
1979,22/07/1979,24,Le Perreux-sur-Marne to Paris (Champs-Élysées),180 km (110 mi),Plain stage,Bernard Hinault (FRA)
1980,26/06/1980,P,Frankfurt (West Germany),8 km (5.0 mi),Individual time trial,Bernard Hinault (FRA)
1980,27/06/1980,1a,Frankfurt (West Germany) to Wiesbaden (West Germany),133 km (83 mi),Plain stage,Jan Raas (NED)
1980,27/06/1980,1b,Wiesbaden (West Germany) to Frankfurt (West Germany),46 km (29 mi),Team time trial,TI–Raleigh–Creda
1980,28/06/1980,2,Frankfurt (West Germany) to Metz,276 km (171 mi),Plain stage,Rudy Pevenage (BEL)
1980,29/06/1980,3,Metz to Liège (Belgium),282 km (175 mi),Plain stage,Henk Lubberding (NED)
1980,30/06/1980,4,Spa (Belgium),35 km (22 mi),Individual time trial,Bernard Hinault (FRA)
1980,01/07/1980,5,Liège (Belgium) to Lille,249 km (155 mi),Plain stage,Bernard Hinault (FRA)
1980,02/07/1980,6,Lille to Compiègne,216 km (134 mi),Plain stage,Jean-Louis Gauthier (FRA)
1980,03/07/1980,7a,Compiègne to Beauvais,65 km (40 mi),Team time trial,TI–Raleigh–Creda
1980,03/07/1980,7b,Beauvais to Rouen,92 km (57 mi),Plain stage,Jan Raas (NED)
1980,04/07/1980,8,Flers to Saint-Malo,164 km (102 mi),Plain stage,Bert Oosterbosch (NED)
1980,06/07/1980,9,Saint-Malo to Nantes,205 km (127 mi),Plain stage,Jan Raas (NED)
1980,07/07/1980,10,Rochefort to Bordeaux,163 km (101 mi),Plain stage,Cees Priem (NED)
1980,08/07/1980,11,Damazan to Laplume,52 km (32 mi),Individual time trial,Joop Zoetemelk (NED)
1980,09/07/1980,12,Agen to Pau,194 km (121 mi),Plain stage,Gerrie Knetemann (NED)
1980,10/07/1980,13,Pau to Bagnères-de-Luchon,200 km (120 mi),Stage with mountain(s),Raymond Martin (FRA)
1980,11/07/1980,14,Lézignan-Corbières to Montpellier,189 km (117 mi),Plain stage,Ludo Peeters (BEL)
1980,12/07/1980,15,Montpellier to Martigues,160 km (99 mi),Plain stage,Bernard Vallet (FRA)
1980,13/07/1980,16,Trets to Pra-Loup,209 km (130 mi),Stage with mountain(s),Jos De Schoenmaecker (BEL)
1980,14/07/1980,17,Serre Chevalier to Morzine,242 km (150 mi),Stage with mountain(s),Mariano Martínez (FRA)
1980,16/07/1980,18,Morzine to Prapoutel,199 km (124 mi),Stage with mountain(s),Ludo Loos (BEL)
1980,17/07/1980,19,Voreppe to Saint-Étienne,140 km (87 mi),Hilly stage,Sean Kelly (IRE)
1980,18/07/1980,20,Saint-Étienne,34 km (21 mi),Individual time trial,Joop Zoetemelk (NED)
1980,19/07/1980,21,Auxerre to Fontenay-sous-Bois,208 km (129 mi),Plain stage,Sean Kelly (IRE)
1980,20/07/1980,22,Fontenay-sous-Bois to Paris (Champs-Élysées),186 km (116 mi),Plain stage,Pol Verschuere (BEL)
1981,25/06/1981,P,Nice,6 km (3.7 mi),Individual time trial,Bernard Hinault (FRA)
1981,26/06/1981,1a,Nice,97 km (60 mi),Hilly stage,Freddy Maertens (BEL)
1981,26/06/1981,1b,Nice,40 km (25 mi),Team time trial,TI–Raleigh–Creda[15]
1981,27/06/1981,2,Nice to Martigues,254 km (158 mi),Plain stage,Johan van der Velde (NED)
1981,28/06/1981,3,Martigues to Narbonne,232 km (144 mi),Plain stage,Freddy Maertens (BEL)
1981,29/06/1981,4,Narbonne to Carcassonne,77 km (48 mi),Team time trial,TI–Raleigh–Creda
1981,30/06/1981,5,Saint-Gaudens to Pla d'Adet,117 km (73 mi),Stage with mountain(s),Lucien Van Impe (BEL)
1981,01/07/1981,6,Nay to Pau,27 km (17 mi),Individual time trial,Bernard Hinault (FRA)
1981,02/07/1981,7,Pau to Bordeaux,227 km (141 mi),Plain stage,Urs Freuler (SUI)
1981,03/07/1981,8,Rochefort to Nantes,182 km (113 mi),Plain stage,Ad Wijnands (NED)
1981,05/07/1981,9,Nantes to Le Mans,197 km (122 mi),Plain stage,René Martens (BEL)
1981,06/07/1981,10,Le Mans to Aulnay-sous-Bois,264 km (164 mi),Plain stage,Ad Wijnands (NED)
1981,07/07/1981,11,Compiègne to Roubaix,246 km (153 mi),Plain stage,Daniel Willems (BEL)
1981,08/07/1981,12a,Roubaix to Brussels (Belgium),107 km (66 mi),Plain stage,Freddy Maertens (BEL)
1981,08/07/1981,12b,Brussels (Belgium) to Circuit Zolder (Belgium),138 km (86 mi),Plain stage,Eddy Planckaert (BEL)
1981,09/07/1981,13,Beringen (Belgium) to Hasselt (Belgium),157 km (98 mi),Plain stage,Freddy Maertens (BEL)
1981,10/07/1981,14,Mulhouse,38 km (24 mi),Individual time trial,Bernard Hinault (FRA)
1981,11/07/1981,15,Besançon to Thonon-les-Bains,231 km (144 mi),Hilly stage,Sean Kelly (IRE)
1981,12/07/1981,16,Thonon-les-Bains to Morzine,200 km (120 mi),Stage with mountain(s),Robert Alban (FRA)
1981,14/07/1981,17,Morzine to Alpe d'Huez,230 km (140 mi),Stage with mountain(s),Peter Winnen (NED)
1981,15/07/1981,18,Le Bourg-d'Oisans to Le Pleynet,134 km (83 mi),Stage with mountain(s),Bernard Hinault (FRA)
1981,16/07/1981,19,Veurey to Saint-Priest,118 km (73 mi),Plain stage,Daniel Willems (BEL)
1981,17/07/1981,20,Saint-Priest,46 km (29 mi),Individual time trial,Bernard Hinault (FRA)
1981,18/07/1981,21,Auxerre to Fontenay-sous-Bois,207 km (129 mi),Plain stage,Johan van der Velde (NED)
1981,19/07/1981,22,Fontenay-sous-Bois to Paris (Champs-Élysées),187 km (116 mi),Plain stage,Freddy Maertens (BEL)
1982,02/07/1982,P,Basel (Switzerland),7 km (4.3 mi),Individual time trial,Bernard Hinault (FRA)
1982,03/07/1982,1,Basel (Switzerland) to Möhlin (Switzerland),207 km (129 mi),Hilly stage,Ludo Peeters (BEL)
1982,04/07/1982,2,Basel (Switzerland) to Nancy,250 km (160 mi),Plain stage,Phil Anderson (AUS)
1982,05/07/1982,3,Nancy to Longwy,134 km (83 mi),Plain stage,Daniel Willems (BEL)
1982,06/07/1982,4,Beauraing (Belgium) to Mouscron (Belgium),219 km (136 mi),Plain stage,Gerrie Knetemann (NED)
1982,07/07/1982,5,Orchies to Fontaine-au-Pire,73 km (45 mi),Team time trial,Cancelled and replaced by stage 9a
1982,08/07/1982,6,Lille,233 km (145 mi),Plain stage,Jan Raas (NED)
1982,10/07/1982,7,Cancale to Concarneau,235 km (146 mi),Plain stage,Pol Verschuere (BEL)
1982,11/07/1982,8,Concarneau to Châteaulin,201 km (125 mi),Plain stage,Frank Hoste (BEL)
1982,12/07/1982,9a,Lorient to Plumelec,69 km (43 mi),Team time trial,TI–Raleigh–Campagnolo
1982,12/07/1982,9b,Plumelec to Nantes,138 km (86 mi),Plain stage,Stefan Mutter (SUI)
1982,13/07/1982,10,Saintes to Bordeaux,147 km (91 mi),Plain stage,Pierre-Raymond Villemiane (FRA)
1982,14/07/1982,11,Valence d'Agen,57 km (35 mi),Individual time trial,Gerrie Knetemann (NED)
1982,15/07/1982,12,Fleurance to Pau,249 km (155 mi),Stage with mountain(s),Sean Kelly (IRE)
1982,16/07/1982,13,Pau to Saint-Lary-Soulan Pla d'Adet,122 km (76 mi),Stage with mountain(s),Beat Breu (SUI)
1982,18/07/1982,14,Martigues,33 km (21 mi),Individual time trial,Bernard Hinault (FRA)
1982,19/07/1982,15,Manosque to Orcières-Merlette,208 km (129 mi),Stage with mountain(s),Pascal Simon (FRA)
1982,20/07/1982,16,Orcières-Merlette to Alpe d'Huez,123 km (76 mi),Stage with mountain(s),Beat Breu (SUI)
1982,21/07/1982,17,Le Bourg-d'Oisans to Morzine,251 km (156 mi),Stage with mountain(s),Peter Winnen (NED)
1982,22/07/1982,18,Morzine to Saint-Priest,233 km (145 mi),Plain stage,Adrie van Houwelingen (NED)
1982,23/07/1982,19,Saint-Priest,48 km (30 mi),Individual time trial,Bernard Hinault (FRA)
1982,24/07/1982,20,Sens to Aulnay-sous-Bois,161 km (100 mi),Plain stage,Daniel Willems (BEL)
1982,25/07/1982,21,Fontenay-sous-Bois to Paris (Champs-Élysées),187 km (116 mi),Plain stage,Bernard Hinault (FRA)
1983,01/07/1983,P,Fontenay-sous-Bois,6 km (3.7 mi),Individual time trial,Eric Vanderaerden (BEL)
1983,02/07/1983,1,Nogent-sur-Marne to Créteil,163 km (101 mi),Plain stage,Frits Pirard (NED)
1983,03/07/1983,2,Soissons to Fontaine-au-Pire,100 km (62 mi),Team time trial,COOP–Mercier–Mavic
1983,04/07/1983,3,Valenciennes to Roubaix,152 km (94 mi),Hilly stage,Rudy Matthijs (BEL)
1983,05/07/1983,4,Roubaix to Le Havre,300 km (190 mi),Plain stage,Serge Demierre (SUI)
1983,06/07/1983,5,Le Havre to Le Mans,257 km (160 mi),Plain stage,Dominique Gaigne (FRA)
1983,07/07/1983,6,Châteaubriant to Nantes,58 km (36 mi),Individual time trial,Bert Oosterbosch (NED)
1983,08/07/1983,7,Nantes to Île d'Oléron,216 km (134 mi),Plain stage,Riccardo Magrini (ITA)
1983,09/07/1983,8,La Rochelle to Bordeaux,222 km (138 mi),Plain stage,Bert Oosterbosch (NED)
1983,10/07/1983,9,Bordeaux to Pau,207 km (129 mi),Plain stage,Philippe Chevallier (FRA)
1983,11/07/1983,10,Pau to Bagnères-de-Luchon,201 km (125 mi),Stage with mountain(s),Robert Millar (GBR)
1983,12/07/1983,11,Bagnères-de-Luchon to Fleurance,177 km (110 mi),Plain stage,Régis Clère (FRA)
1983,13/07/1983,12,Fleurance to Roquefort-sur-Soulzon,261 km (162 mi),Plain stage,Kim Andersen (DEN)
1983,14/07/1983,13,Roquefort-sur-Soulzon to Aurillac,210 km (130 mi),Hilly stage,Henk Lubberding (NED)
1983,15/07/1983,14,Aurillac to Issoire,149 km (93 mi),Hilly stage,Pierre Le Bigaut (FRA)
1983,16/07/1983,15,Clermont-Ferrand to Puy-de-Dôme,16 km (9.9 mi),Individual time trial,Ángel Arroyo (ESP)
1983,17/07/1983,16,Issoire to Saint-Étienne,144 km (89 mi),Hilly stage,Michel Laurent (FRA)
1983,18/07/1983,17,La Tour-du-Pin to Alpe d'Huez,223 km (139 mi),Stage with mountain(s),Peter Winnen (NED)
1983,20/07/1983,18,Le Bourg-d'Oisans to Morzine,247 km (153 mi),Stage with mountain(s),Jacques Michaud (FRA)
1983,21/07/1983,19,Morzine to Avoriaz,15 km (9.3 mi),Individual time trial,Lucien Van Impe (BEL)
1983,22/07/1983,20,Morzine to Dijon,291 km (181 mi),Plain stage,Philippe Leleu (FRA)
1983,23/07/1983,21,Dijon,50 km (31 mi),Individual time trial,Laurent Fignon (FRA)
1983,24/07/1983,22,Alfortville to Paris (Champs-Élysées),195 km (121 mi),Plain stage,Gilbert Glaus (SUI)
1984,29/06/1984,P,Montreuil to Noisy-le-Sec,5 km (3.1 mi),Individual time trial,Bernard Hinault (FRA)
1984,30/06/1984,1,Bondy to Saint-Denis,149 km (93 mi),Plain stage,Frank Hoste (BEL)
1984,01/07/1984,2,Bobigny to Louvroil,249 km (155 mi),Plain stage,Marc Madiot (FRA)
1984,02/07/1984,3,Louvroil to Valenciennes,51 km (32 mi),Team time trial,Renault–Elf
1984,02/07/1984,4,Valenciennes to Béthune,83 km (52 mi),Plain stage,Ferdi Van Den Haute (BEL)
1984,03/07/1984,5,Béthune to Cergy-Pontoise,207 km (129 mi),Plain stage,Paulo Ferreira (POR)
1984,04/07/1984,6,Cergy-Pontoise to Alençon,202 km (126 mi),Plain stage,Frank Hoste (BEL)
1984,05/07/1984,7,Alençon to Le Mans,67 km (42 mi),Individual time trial,Laurent Fignon (FRA)
1984,06/07/1984,8,Le Mans to Nantes,192 km (119 mi),Plain stage,Pascal Jules (FRA)
1984,07/07/1984,9,Nantes to Bordeaux,338 km (210 mi),Plain stage,Jan Raas (NED)
1984,08/07/1984,10,Langon to Pau,198 km (123 mi),Plain stage,Eric Vanderaerden (BEL)
1984,09/07/1984,11,Pau to Guzet-Neige,227 km (141 mi),Stage with mountain(s),Robert Millar (GBR)
1984,10/07/1984,12,Saint-Girons to Blagnac,111 km (69 mi),Plain stage,Pascal Poisson (FRA)
1984,11/07/1984,13,Blagnac to Rodez,220 km (140 mi),Plain stage,Pierre-Henri Menthéour (FRA)
1984,12/07/1984,14,Rodez to Domaine du Rouret,228 km (142 mi),Hilly stage,Fons De Wolf (BEL)
1984,13/07/1984,15,Domaine du Rouret to Grenoble,241 km (150 mi),Hilly stage,Frédéric Vichot (FRA)
1984,15/07/1984,16,Les Échelles to La Ruchère,22 km (14 mi),Individual time trial,Laurent Fignon (FRA)
1984,16/07/1984,17,Grenoble to Alpe d'Huez,151 km (94 mi),Stage with mountain(s),Luis Herrera (COL)
1984,17/07/1984,18,Le Bourg-d'Oisans to La Plagne,185 km (115 mi),Stage with mountain(s),Laurent Fignon (FRA)
1984,18/07/1984,19,La Plagne to Morzine,186 km (116 mi),Stage with mountain(s),Ángel Arroyo (ESP)
1984,19/07/1984,20,Morzine to Crans-Montana (Switzerland),141 km (88 mi),Stage with mountain(s),Laurent Fignon (FRA)
1984,20/07/1984,21,Crans-Montana (Switzerland) to Villefranche-sur-Saône,320 km (200 mi),Hilly stage,Frank Hoste (BEL)
1984,21/07/1984,22,Villié-Morgon to Villefranche-sur-Saône,51 km (32 mi),Individual time trial,Laurent Fignon (FRA)
1984,22/07/1984,23,Pantin to Paris (Champs-Élysées),197 km (122 mi),Hilly stage,Eric Vanderaerden (BEL)
1985,28/06/1985,P,Plumelec,6 km (3.7 mi),Individual time trial,Bernard Hinault (FRA)
1985,29/06/1985,1,Vannes to Lanester,256 km (159 mi),Plain stage,Rudy Matthijs (BEL)
1985,30/06/1985,2,Lorient to Vitre,242 km (150 mi),Plain stage,Rudy Matthijs (BEL)
1985,01/07/1985,3,Vitre to Fougères,73 km (45 mi),Team time trial,La Vie Claire
1985,02/07/1985,4,Fougères to Pont-Audemer,239 km (149 mi),Plain stage,Gerrit Solleveld (NED)
1985,03/07/1985,5,Neufchâtel-en-Bray to Roubaix,224 km (139 mi),Plain stage with cobblestones,Henri Manders (NED)
1985,04/07/1985,6,Roubaix to Reims,222 km (138 mi),Plain stage,Francis Castaing (FRA)
1985,05/07/1985,7,Reims to Nancy,217 km (135 mi),Plain stage,Ludwig Wijnants (BEL)
1985,06/07/1985,8,Sarrebourg to Strasbourg,75 km (47 mi),Individual time trial,Bernard Hinault (FRA)
1985,07/07/1985,9,Strasbourg to Épinal,174 km (108 mi),Hilly stage,Maarten Ducrot (NED)
1985,08/07/1985,10,Épinal to Pontarlier,204 km (127 mi),Hilly stage,Jørgen V. Pedersen (DEN)
1985,09/07/1985,11,Pontarlier to Morzine Avoriaz,195 km (121 mi),Stage with mountain(s),Luis Herrera (COL)
1985,10/07/1985,12,Morzine Avoriaz to Lans-en-Vercors,269 km (167 mi),Stage with mountain(s),Fabio Parra (COL)
1985,11/07/1985,13,Villard-de-Lans,32 km (20 mi),Individual time trial,Eric Vanderaerden (BEL)
1985,13/07/1985,14,Autrans to Saint-Étienne,179 km (111 mi),Hilly stage,Luis Herrera (COL)
1985,14/07/1985,15,Saint-Étienne to Aurillac,238 km (148 mi),Plain stage,Eduardo Chozas (ESP)
1985,15/07/1985,16,Aurillac to Toulouse,247 km (153 mi),Plain stage,Frédéric Vichot (FRA)
1985,16/07/1985,17,Toulouse to Luz Ardiden,209 km (130 mi),Stage with mountain(s),Pedro Delgado (ESP)
1985,17/07/1985,18a,Luz-Saint-Sauveur to Aubisque,53 km (33 mi),Stage with mountain(s),Stephen Roche (IRE)
1985,17/07/1985,18b,Laruns to Pau,83 km (52 mi),Stage with mountain(s),Régis Simon (FRA)
1985,18/07/1985,19,Pau to Bordeaux,203 km (126 mi),Plain stage,Eric Vanderaerden (BEL)
1985,19/07/1985,20,Montpon-Ménestérol to Limoges,225 km (140 mi),Plain stage,Johan Lammerts (NED)
1985,20/07/1985,21,Lac de Vassivière,46 km (29 mi),Individual time trial,Greg LeMond (USA)
1985,21/07/1985,22,Orléans to Paris (Champs-Élysées),196 km (122 mi),Plain stage,Rudy Matthijs (BEL)
1986,04/07/1986,P,Boulogne-Billancourt,4.6 km (2.9 mi),Individual time trial,Thierry Marie (FRA)
1986,05/07/1986,1,Nanterre to Sceaux,85 km (52.8 mi),Plain stage,Pol Verschuere (BEL)
1986,05/07/1986,2,Meudon to Saint-Quentin-en-Yvelines,56 km (34.8 mi),Team time trial,Système U
1986,06/07/1986,3,Levallois-Perret to Liévin,214 km (133.0 mi),Plain stage,Davis Phinney (USA)
1986,07/07/1986,4,Liévin to Évreux,243 km (151.0 mi),Plain stage,Pello Ruiz Cabestany (ESP)
1986,08/07/1986,5,Évreux to Villers-sur-Mer,124.5 km (77.4 mi),Plain stage,Johan van der Velde (NED)
1986,09/07/1986,6,Villers-sur-Mer to Cherbourg,200 km (124.3 mi),Plain stage,Guido Bontempi (ITA)
1986,10/07/1986,7,Cherbourg to Saint-Hilaire-du-Harcouët,201 km (124.9 mi),Plain stage,Ludo Peeters (BEL)
1986,11/07/1986,8,Saint-Hilaire-du-Harcouët to Nantes,204 km (126.8 mi),Plain stage,Eddy Planckaert (BEL)
1986,12/07/1986,9,Nantes,61.5 km (38.2 mi),Individual time trial,Bernard Hinault (FRA)
1986,13/07/1986,10,Nantes to Futuroscope,183 km (113.7 mi),Plain stage,José Ángel Sarrapio (ESP)
1986,14/07/1986,11,Futuroscope to Bordeaux,258.3 km (160.5 mi),Plain stage,Rudy Dhaenens (BEL)
1986,15/07/1986,12,Bayonne to Pau,217.5 km (135.1 mi),Stage with mountain(s),Pedro Delgado (ESP)
1986,16/07/1986,13,Pau to Superbagnères,186 km (115.6 mi),Stage with mountain(s),Greg LeMond (USA)
